Gene name,Gene stable ID
C3orf80,ENSG00000180044
C6orf120,ENSG00000185127
C19orf12,ENSG00000131943
C11orf94,ENSG00000234776
SMIM33,ENSG00000283288
C2orf69,ENSG00000178074
C2orf74,ENSG00000237651
C4orf3,ENSG00000164096
C11orf24,ENSG00000171067
C6orf15,ENSG00000204542
C6orf58,ENSG00000184530
HLA-A,ENSG00000206503
HLA-F,ENSG00000204642
HLA-E,ENSG00000204592
HLA-C,ENSG00000204525
HLA-G,ENSG00000204632
HLA-B,ENSG00000234745
KIAA2013,ENSG00000116685
KIAA0100,ENSG00000007202
C10orf99,ENSG00000188373
C1orf210,ENSG00000253313
C19orf18,ENSG00000177025
C16orf92,ENSG00000167194
C1orf185,ENSG00000204006
KIAA0040,ENSG00000235750
C3orf20,ENSG00000131379
KIAA1109,ENSG00000138688
C21orf62,ENSG00000205929
C1orf43,ENSG00000143612
LPA,ENSG00000198670
C17orf99,ENSG00000187997
C3orf18,ENSG00000088543
TMEM275,ENSG00000282881
DEGS1,ENSG00000143753
C1orf159,ENSG00000131591
LYZ,ENSG00000090382
C5orf15,ENSG00000113583
A1BG,ENSG00000121410
A2M,ENSG00000175899
A3GALT2,ENSG00000184389
A4GALT,ENSG00000128274
A4GNT,ENSG00000118017
C14orf180,ENSG00000184601
C15orf48,ENSG00000166920
C19orf38,ENSG00000214212
SMIM29,ENSG00000186577
C16orf54,ENSG00000185905
C11orf87,ENSG00000185742
C16orf89,ENSG00000153446
KIAA0319L,ENSG00000142687
DEFA4,ENSG00000164821
DEFA5,ENSG00000164816
DEFA3,ENSG00000239839
DEFA6,ENSG00000164822
DEFA1,ENSG00000206047
DEFA1B,ENSG00000240247
AADAC,ENSG00000114771
AADACL2,ENSG00000197953
AADACL3,ENSG00000188984
ABCA1,ENSG00000165029
ABCA12,ENSG00000144452
ABCA13,ENSG00000179869
ABCA2,ENSG00000107331
ABCA3,ENSG00000167972
ABCA4,ENSG00000198691
ABCA5,ENSG00000154265
ABCA6,ENSG00000154262
ABCA7,ENSG00000064687
ABCA8,ENSG00000141338
ABCA9,ENSG00000154258
ABCB10,ENSG00000135776
ABCB11,ENSG00000073734
ABCB1,ENSG00000085563
ABCB1,ENSG00000085563
ABCB4,ENSG00000005471
ABCB5,ENSG00000004846
ABCB6,ENSG00000115657
ABCB7,ENSG00000131269
ABCB8,ENSG00000197150
ABCB9,ENSG00000150967
ABCC1,ENSG00000103222
ABCC10,ENSG00000124574
ABCC12,ENSG00000140798
ABCC2,ENSG00000023839
ABCC3,ENSG00000108846
ABCC4,ENSG00000125257
ABCC6,ENSG00000091262
ABCC8,ENSG00000006071
ABCC9,ENSG00000069431
ABCD3,ENSG00000117528
ABCD4,ENSG00000119688
ABCG1,ENSG00000160179
ABCG2,ENSG00000118777
ABCG4,ENSG00000172350
ABCG5,ENSG00000138075
ABCG8,ENSG00000143921
ABHD1,ENSG00000143994
ABHD12,ENSG00000100997
ABHD13,ENSG00000139826
ABHD14A,ENSG00000248487
ABHD15,ENSG00000168792
ABHD16A,ENSG00000204427
ABHD3,ENSG00000158201
ABHD6,ENSG00000163686
ABI3BP,ENSG00000154175
ABO,ENSG00000175164
ACACB,ENSG00000076555
ACAN,ENSG00000157766
ACBD4,ENSG00000181513
ACBD5,ENSG00000107897
ACE,ENSG00000159640
ACE2,ENSG00000130234
ACER1,ENSG00000167769
ACER2,ENSG00000177076
ACER3,ENSG00000078124
ACHE,ENSG00000087085
ACP2,ENSG00000134575
ACP5,ENSG00000102575
ACP3,ENSG00000014257
ACR,ENSG00000100312
ACRBP,ENSG00000111644
ACRV1,ENSG00000134940
ACSL1,ENSG00000151726
ACSL5,ENSG00000197142
ACSL6,ENSG00000164398
ACSS2,ENSG00000131069
ACVR1,ENSG00000115170
ACVR1B,ENSG00000135503
ACVR1C,ENSG00000123612
ACVR2A,ENSG00000121989
ACVR2B,ENSG00000114739
ACVRL1,ENSG00000139567
ADAM10,ENSG00000137845
ADAM11,ENSG00000073670
ADAM12,ENSG00000148848
ADAM15,ENSG00000143537
ADAM17,ENSG00000151694
ADAM18,ENSG00000168619
ADAM2,ENSG00000104755
ADAM20,ENSG00000134007
ADAM21,ENSG00000139985
ADAM22,ENSG00000008277
ADAM23,ENSG00000114948
ADAM20,ENSG00000134007
ADAM28,ENSG00000042980
ADAM29,ENSG00000168594
ADAM30,ENSG00000134249
ADAM32,ENSG00000197140
ADAM33,ENSG00000149451
ADAM20,ENSG00000134007
ADAM7,ENSG00000069206
ADAM8,ENSG00000151651
ADAM9,ENSG00000168615
ADAMDEC1,ENSG00000134028
ADAMTS1,ENSG00000154734
ADAMTS10,ENSG00000142303
ADAMTS12,ENSG00000151388
ADAMTS13,ENSG00000160323
ADAMTS14,ENSG00000138316
ADAMTS15,ENSG00000166106
ADAMTS16,ENSG00000145536
ADAMTS17,ENSG00000140470
ADAMTS18,ENSG00000140873
ADAMTS19,ENSG00000145808
ADAMTS2,ENSG00000087116
ADAMTS20,ENSG00000173157
ADAMTS3,ENSG00000156140
ADAMTS5,ENSG00000154736
ADAMTS6,ENSG00000049192
ADAMTS7,ENSG00000136378
ADAMTS8,ENSG00000134917
ADAMTSL1,ENSG00000178031
ADAMTSL2,ENSG00000197859
ADAMTSL3,ENSG00000156218
ADAMTSL4,ENSG00000143382
ADAMTSL5,ENSG00000185761
ADCK1,ENSG00000063761
ADCK5,ENSG00000173137
ADCY1,ENSG00000164742
ADCY2,ENSG00000078295
ADCY3,ENSG00000138031
ADCY4,ENSG00000129467
ADCY5,ENSG00000173175
ADCY6,ENSG00000174233
ADCY7,ENSG00000121281
ADCY8,ENSG00000155897
ADCY9,ENSG00000162104
ADCYAP1,ENSG00000141433
ADCYAP1R1,ENSG00000078549
ADIG,ENSG00000182035
ADIPOQ,ENSG00000181092
ADIPOR1,ENSG00000159346
ADIPOR2,ENSG00000006831
ADM,ENSG00000148926
ADM2,ENSG00000128165
ADORA1,ENSG00000163485
ADORA2A,ENSG00000128271
ADORA2B,ENSG00000170425
ADORA3,ENSG00000282608
ADPGK,ENSG00000159322
ADRA1A,ENSG00000120907
ADRA1B,ENSG00000170214
ADRA1D,ENSG00000171873
ADRA2A,ENSG00000150594
ADRA2B,ENSG00000274286
ADRA2C,ENSG00000184160
ADRB1,ENSG00000043591
ADRB2,ENSG00000169252
ADRB3,ENSG00000188778
ADTRP,ENSG00000111863
AEBP1,ENSG00000106624
AFG3L2,ENSG00000141385
AFM,ENSG00000079557
AFP,ENSG00000081051
AGA,ENSG00000038002
AGER,ENSG00000204305
AGMO,ENSG00000187546
AGPAT1,ENSG00000204310
AGPAT2,ENSG00000169692
AGPAT3,ENSG00000160216
AGPAT4,ENSG00000026652
AGPAT5,ENSG00000155189
AGR2,ENSG00000106541
AGR3,ENSG00000173467
AGRN,ENSG00000188157
AGRP,ENSG00000159723
AGTR1,ENSG00000144891
AGTR1,ENSG00000144891
AGTR2,ENSG00000180772
AGTRAP,ENSG00000177674
AHSG,ENSG00000145192
AIFM2,ENSG00000042286
AIG1,ENSG00000146416
AJAP1,ENSG00000196581
AKAP1,ENSG00000121057
ALPP,ENSG00000163283
ALPG,ENSG00000163286
ALPI,ENSG00000163295
ALB,ENSG00000163631
ALCAM,ENSG00000170017
ALDH1B1,ENSG00000137124
ALDH3A2,ENSG00000072210
ALDH6A1,ENSG00000119711
ALDH9A1,ENSG00000143149
ALG1,ENSG00000033011
ALG1L2,ENSG00000251287
ALG10B,ENSG00000175548
ALG10,ENSG00000139133
ALG11,ENSG00000253710
ALG12,ENSG00000182858
ALG14,ENSG00000172339
ALG3,ENSG00000214160
ALG5,ENSG00000120697
ALG6,ENSG00000088035
ALG8,ENSG00000159063
ALG9,ENSG00000086848
ALK,ENSG00000171094
ALOX5AP,ENSG00000132965
ALPP,ENSG00000163283
ALPG,ENSG00000163286
ALPI,ENSG00000163295
ALPL,ENSG00000162551
ALPP,ENSG00000163283
ALPG,ENSG00000163286
ALPI,ENSG00000163295
AMBN,ENSG00000178522
AMBP,ENSG00000106927
AMELX,ENSG00000125363
AMFR,ENSG00000159461
AMH,ENSG00000104899
AMHR2,ENSG00000135409
AMIGO1,ENSG00000181754
AMIGO2,ENSG00000139211
AMIGO3,ENSG00000176020
AMN,ENSG00000166126
AMTN,ENSG00000187689
ANG,ENSG00000214274
ANG,ENSG00000214274
ANG,ENSG00000214274
ANG,ENSG00000214274
ANG,ENSG00000214274
ANGEL1,ENSG00000013523
ANGPT1,ENSG00000154188
ANGPT2,ENSG00000091879
ANGPT4,ENSG00000101280
ANGPTL1,ENSG00000116194
ANGPTL2,ENSG00000136859
ANGPTL3,ENSG00000132855
ANGPTL4,ENSG00000167772
ANGPTL6,ENSG00000130812
ANGPTL7,ENSG00000171819
ANKH,ENSG00000154122
ANKLE2,ENSG00000176915
ANKRD22,ENSG00000152766
ANKRD33,ENSG00000167612
ANKRD46,ENSG00000186106
ANO1,ENSG00000131620
ANO10,ENSG00000160746
ANO2,ENSG00000047617
ANO3,ENSG00000134343
ANO4,ENSG00000151572
ANO5,ENSG00000171714
ANO6,ENSG00000177119
ANO7,ENSG00000146205
ANO8,ENSG00000074855
ANO9,ENSG00000185101
ANPEP,ENSG00000166825
ANTXR1,ENSG00000169604
ANTXR2,ENSG00000163297
ANTXRL,ENSG00000274209
AOAH,ENSG00000136250
AOC2,ENSG00000131480
AOC3,ENSG00000131471
APCDD1,ENSG00000154856
APCS,ENSG00000132703
APH1A,ENSG00000117362
APH1B,ENSG00000138613
APH1B,ENSG00000138613
APLN,ENSG00000171388
APLNR,ENSG00000134817
APLP1,ENSG00000105290
APLP2,ENSG00000084234
APMAP,ENSG00000101474
APOA1,ENSG00000118137
APOA2,ENSG00000158874
APOA4,ENSG00000110244
APOA5,ENSG00000110243
APOB,ENSG00000084674
APOC1,ENSG00000130208
APOC2,ENSG00000234906
