rownames(count),DMSO.GFP.1,DMSO.GFP.2,DMSO.GFP.3,TPG.GFP.1,TPG.GFP.2,TPG.GFP.3,p.value,q.value,ranking,log2FC,lfcSE,baseMean,stat,zero,log2_baseMean,deg
A1BG,107,33,108,75,74,75,0.950639254755058,0.981899795483151,14259.0,-0.027349440003873,0.441803839006915,76.0611101343621,-0.0619040343002653,0,6.249087090569659,ns
AAAS,552,225,571,473,289,365,0.702801475652161,0.865306008911037,11577.0,-0.11423713136129,0.299409443763461,405.459046832286,-0.381541510265586,0,8.663412392957868,ns
AACS,288,305,349,162,330,327,0.430732520447486,0.694461620643088,8332.0,-0.209375611843906,0.265725737975101,288.601556689884,-0.787938772658615,0,8.172935271387338,ns
AADAT,151,66,65,118,135,77,0.472661794080957,0.72415393900519,8899.0,0.290119184649772,0.403978573699274,99.9252411124209,0.718154881317392,0,6.64277724365667,ns
AAGAB,1621,1157,1970,1217,1765,1538,0.859743952962013,0.94368772463179,13367.0,-0.0267997958075032,0.151668244670854,1507.88661045357,-0.176700111916396,0,10.558312230054584,ns
AAK1,156,114,151,153,201,152,0.271683070989608,0.553182004104085,6285.0,0.302601434275687,0.275293707641796,151.927545551406,1.09919488123362,0,7.247239654266705,ns
AAMDC,490,472,537,189,388,303,0.0005577195466294,0.0099912758135696,628.0,-0.778172111779679,0.22546668906168,388.673469054739,-3.45138394952346,0,8.60241482209939,down
AAMP,3313,2172,3329,2297,3063,2644,0.482797215880144,0.73087404037272,9019.0,-0.0896410039514822,0.127728178101643,2740.98552958155,-0.701810714626713,0,11.420478996460929,ns
AAR2,1273,805,1094,1029,1131,1057,0.613579987322336,0.812243597467826,10590.0,0.0812436774913956,0.160888163413482,1048.90540290595,0.504969885712471,0,10.03466885684574,ns
AARD,115,144,123,77,120,132,0.518317129223768,0.752837498926165,9508.0,-0.227067374661776,0.351529222797359,118.252825514171,-0.645941674080023,0,6.885730845276665,ns
AARS1,1650,757,1407,1503,1444,1513,0.098013281631369,0.310151999737782,3813.0,0.323781237947854,0.195689944506557,1355.00660298038,1.65456247005581,0,10.40408416654665,ns
AARS2,525,403,480,336,550,506,0.984570748175749,0.994891318724697,14595.0,0.0037818495588899,0.195556552779729,457.547473892541,0.0193389048085223,0,8.837777631086226,ns
AARSD1,695,678,734,651,868,850,0.299982119666966,0.580490087063514,6661.0,0.186857181852673,0.180281985252335,739.836626445036,1.03647173394022,0,9.53106291424667,ns
AASDH,214,94,128,205,218,167,0.0970908189561134,0.308229038989773,3795.0,0.514616266610113,0.310173491218469,168.041865836653,1.65912394572638,0,7.392676899625992,ns
AASDHPPT,1527,1277,1413,1101,2090,1496,0.359033587072659,0.634253501188005,7433.0,0.149280260748202,0.162755056097675,1450.98179920895,0.917208130594808,0,10.502813707336436,ns
AASS,1219,1153,1164,1053,1440,1132,0.774047329364727,0.903499676435663,12258.0,0.0465163465719354,0.162029942581638,1181.72478158688,0.287084879688198,0,10.206678362078978,ns
AATK,31,17,75,7,43,25,0.322632801186217,0.601154591977069,6942.0,-0.705072904047502,0.712870268837312,30.7232629952693,-0.989062014323409,0,4.941259541971882,ns
